eixo_temat,palavra_chave,tipo,peso_risco,peso_interesse
Legislação e Processo Legislativo,Lei,substantivo,2.0,2.0
Legislação e Processo Legislativo,Projeto de Lei,expressão,2.5,2.5
Legislação e Processo Legislativo,PL,substantivo,2.5,2.5
Legislação e Processo Legislativo,Proposta de Emenda à Constituição,expressão,3.0,3.0
Legislação e Processo Legislativo,PEC,substantivo,3.0,3.0
Legislação e Processo Legislativo,Medida Provisória,expressão,2.8,2.8
Legislação e Processo Legislativo,MP,substantivo,2.8,2.8
Legislação e Processo Legislativo,Decreto,substantivo,2.0,2.0
Legislação e Processo Legislativo,Decreto Legislativo,expressão,2.2,2.2
Legislação e Processo Legislativo,PDL,substantivo,2.2,2.2
Legislação e Processo Legislativo,Resolução,substantivo,1.8,1.8
Legislação e Processo Legislativo,Portaria,substantivo,1.8,1.8
Legislação e Processo Legislativo,Instrução Normativa,expressão,1.9,1.9
Legislação e Processo Legislativo,Deliberação,substantivo,1.7,1.7
Legislação e Processo Legislativo,Emenda,substantivo,2.3,2.3
Legislação e Processo Legislativo,Parecer,substantivo,1.5,1.5
Legislação e Processo Legislativo,Tramitação,substantivo,2.1,2.1
Legislação e Processo Legislativo,Votação,substantivo,2.5,2.5
Legislação e Processo Legislativo,Sanção,substantivo,2.2,2.2
Legislação e Processo Legislativo,Veto,substantivo,2.8,2.8
Legislação e Processo Legislativo,Promulgação,substantivo,2.0,2.0
Legislação e Processo Legislativo,Publicação,substantivo,1.5,1.5
Legislação e Processo Legislativo,Iniciativa popular,expressão,1.8,1.8
Legislação e Processo Legislativo,Audiência Pública,expressão,2.0,2.0
Legislação e Processo Legislativo,Comissão,substantivo,2.3,2.3
Legislação e Processo Legislativo,Comissão de Constituição e Justiça,expressão,2.8,2.8
Legislação e Processo Legislativo,CCJ,substantivo,2.8,2.8
Legislação e Processo Legislativo,Regimento Interno,expressão,1.5,1.5
Legislação e Processo Legislativo,Legislatura,substantivo,1.0,1.0
Legislação e Processo Legislativo,Decoro Parlamentar,expressão,1.0,1.0
Legislação e Processo Legislativo,Poder Executivo,expressão,2.5,2.5
Legislação e Processo Legislativo,Poder Legislativo,expressão,2.5,2.5
Legislação e Processo Legislativo,Poder Judiciário,expressão,2.5,2.5
Legislação e Processo Legislativo,Supremo Tribunal Federal,expressão,3.0,3.0
Legislação e Processo Legislativo,STF,substantivo,3.0,3.0
Legislação e Processo Legislativo,Câmara dos Deputados,expressão,2.8,2.8
Legislação e Processo Legislativo,Senado Federal,expressão,2.8,2.8
Legislação e Processo Legislativo,Assembleia Legislativa,expressão,2.3,2.3
Legislação e Processo Legislativo,Câmara Municipal,expressão,1.8,1.8
Legislação e Processo Legislativo,Governo Federal,expressão,2.7,2.7
Legislação e Processo Legislativo,Governo Estadual,expressão,2.2,2.2
Legislação e Processo Legislativo,Governo Municipal,expressão,1.7,1.7
Legislação e Processo Legislativo,ANTT,substantivo,2.0,2.0
Legislação e Processo Legislativo,Legislação,substantivo,2.0,2.0
Legislação e Processo Legislativo,Norma jurídica,expressão,1.8,1.8
Legislação e Processo Legislativo,Regulamentação,substantivo,2.0,2.0
Legislação e Processo Legislativo,Lei Complementar,expressão,2.5,2.5
Legislação e Processo Legislativo,Código,substantivo,1.5,1.5
Economia Finanças e Ambiente de Negócios,Imposto,substantivo,2.8,2.8
Economia Finanças e Ambiente de Negócios,IOF,substantivo,3.0,3.0
Economia Finanças e Ambiente de Negócios,Imposto sobre Operações Financeiras,expressão,3.0,3.0
Economia Finanças e Ambiente de Negócios,Alíquota,substantivo,2.7,2.7
Economia Finanças e Ambiente de Negócios,Aumento da alíquota,expressão,2.9,2.9
Economia Finanças e Ambiente de Negócios,Arrecadação,substantivo,2.5,2.5
Economia Finanças e Ambiente de Negócios,Carga tributária,expressão,3.0,3.0
Economia Finanças e Ambiente de Negócios,Carga tributária insustentável,expressão,3.0,3.0
Economia Finanças e Ambiente de Negócios,Reforma Tributária,expressão,3.0,3.0
Economia Finanças e Ambiente de Negócios,IVA,substantivo,2.8,2.8
Economia Finanças e Ambiente de Negócios,CBS,substantivo,2.7,2.7
Economia Finanças e Ambiente de Negócios,IBS,substantivo,2.7,2.7
Economia Finanças e Ambiente de Negócios,Contribuição previdenciária,expressão,2.5,2.5
Economia Finanças e Ambiente de Negócios,Desoneração da Folha de Pagamento,expressão,2.9,2.9
Economia Finanças e Ambiente de Negócios,Benefício fiscal,expressão,2.5,2.5
